split,variant,typology,rings,caught,ring_recall,alert_budget
HI-Small,txn_with_format,BIPARTITE,18,3,0.16666666666666666,0.001
HI-Small,txn_with_format,CYCLE,32,2,0.0625,0.001
HI-Small,txn_with_format,FAN-IN,25,3,0.12,0.001
HI-Small,txn_with_format,FAN-OUT,24,2,0.08333333333333333,0.001
HI-Small,txn_with_format,GATHER-SCATTER,40,0,0.0,0.001
HI-Small,txn_with_format,RANDOM,24,0,0.0,0.001
HI-Small,txn_with_format,SCATTER-GATHER,30,2,0.06666666666666667,0.001
HI-Small,txn_with_format,STACK,25,3,0.12,0.001
HI-Small,txn_without_format,BIPARTITE,18,2,0.1111111111111111,0.001
HI-Small,txn_without_format,CYCLE,32,2,0.0625,0.001
HI-Small,txn_without_format,FAN-IN,25,2,0.08,0.001
HI-Small,txn_without_format,FAN-OUT,24,0,0.0,0.001
HI-Small,txn_without_format,GATHER-SCATTER,40,2,0.05,0.001
HI-Small,txn_without_format,RANDOM,24,1,0.041666666666666664,0.001
HI-Small,txn_without_format,SCATTER-GATHER,30,2,0.06666666666666667,0.001
HI-Small,txn_without_format,STACK,25,2,0.08,0.001
HI-Small,graph_with_format,BIPARTITE,18,6,0.3333333333333333,0.001
HI-Small,graph_with_format,CYCLE,32,9,0.28125,0.001
HI-Small,graph_with_format,FAN-IN,25,5,0.2,0.001
HI-Small,graph_with_format,FAN-OUT,24,3,0.125,0.001
HI-Small,graph_with_format,GATHER-SCATTER,40,7,0.175,0.001
HI-Small,graph_with_format,RANDOM,24,6,0.25,0.001
HI-Small,graph_with_format,SCATTER-GATHER,30,11,0.36666666666666664,0.001
HI-Small,graph_with_format,STACK,25,5,0.2,0.001
HI-Small,graph_without_format,BIPARTITE,18,0,0.0,0.001
HI-Small,graph_without_format,CYCLE,32,1,0.03125,0.001
HI-Small,graph_without_format,FAN-IN,25,3,0.12,0.001
HI-Small,graph_without_format,FAN-OUT,24,1,0.041666666666666664,0.001
HI-Small,graph_without_format,GATHER-SCATTER,40,2,0.05,0.001
HI-Small,graph_without_format,RANDOM,24,0,0.0,0.001
HI-Small,graph_without_format,SCATTER-GATHER,30,3,0.1,0.001
HI-Small,graph_without_format,STACK,25,2,0.08,0.001
HI-Small,gnn_with_format,BIPARTITE,18,0,0.0,0.001
HI-Small,gnn_with_format,CYCLE,32,1,0.03125,0.001
HI-Small,gnn_with_format,FAN-IN,25,0,0.0,0.001
HI-Small,gnn_with_format,FAN-OUT,24,0,0.0,0.001
HI-Small,gnn_with_format,GATHER-SCATTER,40,2,0.05,0.001
HI-Small,gnn_with_format,RANDOM,24,0,0.0,0.001
HI-Small,gnn_with_format,SCATTER-GATHER,30,1,0.03333333333333333,0.001
HI-Small,gnn_with_format,STACK,25,2,0.08,0.001
HI-Small,gnn_without_format,BIPARTITE,18,0,0.0,0.001
HI-Small,gnn_without_format,CYCLE,32,0,0.0,0.001
HI-Small,gnn_without_format,FAN-IN,25,0,0.0,0.001
HI-Small,gnn_without_format,FAN-OUT,24,0,0.0,0.001
HI-Small,gnn_without_format,GATHER-SCATTER,40,0,0.0,0.001
HI-Small,gnn_without_format,RANDOM,24,0,0.0,0.001
HI-Small,gnn_without_format,SCATTER-GATHER,30,0,0.0,0.001
HI-Small,gnn_without_format,STACK,25,0,0.0,0.001
