split,variant,alert_budget,alerts,test_transactions,test_laundering,laundering_in_alerts,txn_recall,precision,rings_evaluable,rings_not_evaluable,precision_lo,precision_hi,ring_recall_at_least_1,ring_recall_at_least_1_lo,ring_recall_at_least_1_hi,ring_recall_at_least_2,ring_recall_at_least_2_lo,ring_recall_at_least_2_hi,ring_recall_at_least_half,ring_recall_at_least_half_lo,ring_recall_at_least_half_hi
HI-Small,txn_with_format,0.001,1523,1523171,1666,21,0.012605042016806723,0.013788575180564675,218,152,0.007879185817465528,0.020354563361785948,0.06880733944954129,0.03669724770642202,0.10550458715596331,0.0,0.0,0.0,0.03669724770642202,0.013761467889908258,0.06422018348623854
HI-Small,txn_with_format,0.005,7616,1523171,1666,204,0.12244897959183673,0.026785714285714284,218,152,0.023237263655462193,0.03046218487394958,0.48623853211009177,0.42201834862385323,0.555045871559633,0.1926605504587156,0.14220183486238533,0.24770642201834864,0.1834862385321101,0.13302752293577982,0.23394495412844038
HI-Small,txn_with_format,0.01,15232,1523171,1666,371,0.22268907563025211,0.024356617647058824,218,152,0.02186186974789916,0.026851365546218486,0.6238532110091743,0.5595183486238534,0.6880733944954128,0.3532110091743119,0.2934633027522938,0.41743119266055045,0.3165137614678899,0.25688073394495414,0.3761467889908257
HI-Small,txn_without_format,0.001,1523,1523171,1666,15,0.00900360144057623,0.00984898227183191,218,152,0.005252790544977019,0.015101772816808929,0.05963302752293578,0.03211009174311927,0.09174311926605505,0.009174311926605505,0.0,0.022935779816513763,0.01834862385321101,0.004472477064220386,0.03669724770642202
HI-Small,txn_without_format,0.005,7616,1523171,1666,82,0.04921968787515006,0.010766806722689076,218,152,0.008665966386554622,0.012998949579831933,0.2706422018348624,0.21100917431192662,0.3302752293577982,0.0779816513761468,0.045871559633027525,0.11467889908256881,0.06422018348623854,0.036582568807339656,0.0963302752293578
HI-Small,txn_without_format,0.01,15232,1523171,1666,118,0.07082833133253301,0.0077468487394957986,218,152,0.006433823529411764,0.009059873949579833,0.3486238532110092,0.28440366972477066,0.40825688073394495,0.11467889908256881,0.07339449541284404,0.1559633027522936,0.0963302752293578,0.05963302752293578,0.13761467889908258
HI-Small,graph_with_format,0.001,1523,1523171,1666,99,0.05942376950780312,0.06500328299409061,218,152,0.0531680892974393,0.07747866053841103,0.23853211009174313,0.1834862385321101,0.29357798165137616,0.06422018348623854,0.03211009174311927,0.0963302752293578,0.11467889908256881,0.07339449541284404,0.1559633027522936
HI-Small,graph_with_format,0.005,7616,1523171,1666,403,0.2418967587034814,0.052914915966386554,218,152,0.04792542016806723,0.05803899684873948,0.5321100917431193,0.46788990825688076,0.6009174311926605,0.25688073394495414,0.19724770642201836,0.3165137614678899,0.2889908256880734,0.22935779816513763,0.3486238532110092
HI-Small,graph_with_format,0.01,15232,1523171,1666,639,0.3835534213685474,0.04195115546218487,218,152,0.038865546218487396,0.04510405724789915,0.7110091743119266,0.6513761467889908,0.7706422018348624,0.44036697247706424,0.3761467889908257,0.5047018348623846,0.5412844036697247,0.47706422018348627,0.6055045871559633
HI-Small,graph_without_format,0.001,1523,1523171,1666,24,0.014405762304921969,0.015758371634931056,218,152,0.00984898227183191,0.02232435981615233,0.05504587155963303,0.027522935779816515,0.0871559633027523,0.0,0.0,0.0,0.009174311926605505,0.0,0.022935779816513763
HI-Small,graph_without_format,0.005,7616,1523171,1666,73,0.043817527010804325,0.009585084033613446,218,152,0.007484243697478992,0.011817226890756302,0.13761467889908258,0.0963302752293578,0.1834862385321101,0.045871559633027525,0.01834862385321101,0.0779816513761468,0.022935779816513763,0.0045871559633027525,0.045871559633027525
HI-Small,graph_without_format,0.01,15232,1523171,1666,83,0.04981992797118848,0.005449054621848739,218,152,0.004331341911764709,0.00663077731092437,0.13761467889908258,0.09174311926605505,0.1834862385321101,0.045871559633027525,0.022935779816513763,0.07339449541284404,0.022935779816513763,0.0045871559633027525,0.045871559633027525
HI-Small,gnn_with_format,0.001,1523,1523171,1666,6,0.003601440576230492,0.003939592908732764,218,152,0.0013131976362442547,0.007222586999343401,0.027522935779816515,0.009174311926605505,0.05045871559633028,0.0,0.0,0.0,0.009174311926605505,0.0,0.022935779816513763
HI-Small,gnn_with_format,0.005,7616,1523171,1666,28,0.01680672268907563,0.003676470588235294,218,152,0.0023634453781512603,0.005120798319327731,0.0963302752293578,0.05963302752293578,0.13761467889908258,0.009174311926605505,0.0,0.022935779816513763,0.05504587155963303,0.027522935779816515,0.0871559633027523
HI-Small,gnn_with_format,0.01,15232,1523171,1666,50,0.030012004801920768,0.003282563025210084,218,152,0.0024290966386554622,0.004267331932773109,0.15137614678899083,0.10997706422018369,0.2018348623853211,0.01834862385321101,0.0045871559633027525,0.03669724770642202,0.09174311926605505,0.05504587155963303,0.13302752293577982
HI-Small,gnn_without_format,0.001,1523,1523171,1666,0,0.0,0.0,218,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HI-Small,gnn_without_format,0.005,7616,1523171,1666,19,0.011404561824729893,0.0024947478991596637,218,152,0.001444327731092437,0.003676470588235294,0.03669724770642202,0.013761467889908258,0.06422018348623854,0.0,0.0,0.0,0.027522935779816515,0.009174311926605505,0.05045871559633028
HI-Small,gnn_without_format,0.01,15232,1523171,1666,24,0.014405762304921969,0.0015756302521008404,218,152,0.0009847689075630252,0.002232142857142857,0.045871559633027525,0.01834862385321101,0.07339449541284404,0.0,0.0,0.0,0.03211009174311927,0.009174311926605505,0.05963302752293578
