split,variant,typology,rings,caught,ring_recall,alert_budget
HI-Small,txn_with_format,BIPARTITE,18,8,0.4444444444444444,0.001
HI-Small,txn_with_format,CYCLE,32,10,0.3125,0.001
HI-Small,txn_with_format,FAN-IN,25,11,0.44,0.001
HI-Small,txn_with_format,FAN-OUT,24,14,0.5833333333333334,0.001
HI-Small,txn_with_format,GATHER-SCATTER,40,16,0.4,0.001
HI-Small,txn_with_format,RANDOM,24,8,0.3333333333333333,0.001
HI-Small,txn_with_format,SCATTER-GATHER,30,15,0.5,0.001
HI-Small,txn_with_format,STACK,25,13,0.52,0.001
HI-Small,txn_without_format,BIPARTITE,18,1,0.05555555555555555,0.001
HI-Small,txn_without_format,CYCLE,32,2,0.0625,0.001
HI-Small,txn_without_format,FAN-IN,25,0,0.0,0.001
HI-Small,txn_without_format,FAN-OUT,24,3,0.125,0.001
HI-Small,txn_without_format,GATHER-SCATTER,40,3,0.075,0.001
HI-Small,txn_without_format,RANDOM,24,2,0.08333333333333333,0.001
HI-Small,txn_without_format,SCATTER-GATHER,30,3,0.1,0.001
HI-Small,txn_without_format,STACK,25,2,0.08,0.001
HI-Small,graph_with_format,BIPARTITE,18,6,0.3333333333333333,0.001
HI-Small,graph_with_format,CYCLE,32,5,0.15625,0.001
HI-Small,graph_with_format,FAN-IN,25,4,0.16,0.001
HI-Small,graph_with_format,FAN-OUT,24,4,0.16666666666666666,0.001
HI-Small,graph_with_format,GATHER-SCATTER,40,7,0.175,0.001
HI-Small,graph_with_format,RANDOM,24,5,0.20833333333333334,0.001
HI-Small,graph_with_format,SCATTER-GATHER,30,10,0.3333333333333333,0.001
HI-Small,graph_with_format,STACK,25,3,0.12,0.001
HI-Small,graph_without_format,BIPARTITE,18,6,0.3333333333333333,0.001
HI-Small,graph_without_format,CYCLE,32,4,0.125,0.001
HI-Small,graph_without_format,FAN-IN,25,2,0.08,0.001
HI-Small,graph_without_format,FAN-OUT,24,3,0.125,0.001
HI-Small,graph_without_format,GATHER-SCATTER,40,2,0.05,0.001
HI-Small,graph_without_format,RANDOM,24,4,0.16666666666666666,0.001
HI-Small,graph_without_format,SCATTER-GATHER,30,7,0.23333333333333334,0.001
HI-Small,graph_without_format,STACK,25,2,0.08,0.001
