split,variant,typology,rings,caught,ring_recall,alert_budget
HI-Small,txn_with_format,BIPARTITE,18,6,0.3333333333333333,0.001
HI-Small,txn_with_format,CYCLE,32,11,0.34375,0.001
HI-Small,txn_with_format,FAN-IN,25,12,0.48,0.001
HI-Small,txn_with_format,FAN-OUT,24,12,0.5,0.001
HI-Small,txn_with_format,GATHER-SCATTER,40,17,0.425,0.001
HI-Small,txn_with_format,RANDOM,24,9,0.375,0.001
HI-Small,txn_with_format,SCATTER-GATHER,30,18,0.6,0.001
HI-Small,txn_with_format,STACK,25,15,0.6,0.001
HI-Small,txn_without_format,BIPARTITE,18,0,0.0,0.001
HI-Small,txn_without_format,CYCLE,32,1,0.03125,0.001
HI-Small,txn_without_format,FAN-IN,25,0,0.0,0.001
HI-Small,txn_without_format,FAN-OUT,24,2,0.08333333333333333,0.001
HI-Small,txn_without_format,GATHER-SCATTER,40,3,0.075,0.001
HI-Small,txn_without_format,RANDOM,24,1,0.041666666666666664,0.001
HI-Small,txn_without_format,SCATTER-GATHER,30,0,0.0,0.001
HI-Small,txn_without_format,STACK,25,1,0.04,0.001
HI-Small,graph_with_format,BIPARTITE,18,4,0.2222222222222222,0.001
HI-Small,graph_with_format,CYCLE,32,3,0.09375,0.001
HI-Small,graph_with_format,FAN-IN,25,3,0.12,0.001
HI-Small,graph_with_format,FAN-OUT,24,10,0.4166666666666667,0.001
HI-Small,graph_with_format,GATHER-SCATTER,40,15,0.375,0.001
HI-Small,graph_with_format,RANDOM,24,1,0.041666666666666664,0.001
HI-Small,graph_with_format,SCATTER-GATHER,30,9,0.3,0.001
HI-Small,graph_with_format,STACK,25,3,0.12,0.001
HI-Small,graph_without_format,BIPARTITE,18,5,0.2777777777777778,0.001
HI-Small,graph_without_format,CYCLE,32,4,0.125,0.001
HI-Small,graph_without_format,FAN-IN,25,8,0.32,0.001
HI-Small,graph_without_format,FAN-OUT,24,12,0.5,0.001
HI-Small,graph_without_format,GATHER-SCATTER,40,17,0.425,0.001
HI-Small,graph_without_format,RANDOM,24,4,0.16666666666666666,0.001
HI-Small,graph_without_format,SCATTER-GATHER,30,11,0.36666666666666664,0.001
HI-Small,graph_without_format,STACK,25,8,0.32,0.001
