split,variant,alert_budget,alerts,test_transactions,test_laundering,laundering_in_alerts,txn_recall,precision,rings_evaluable,rings_not_evaluable,precision_lo,precision_hi,ring_recall_at_least_1,ring_recall_at_least_1_lo,ring_recall_at_least_1_hi,ring_recall_at_least_2,ring_recall_at_least_2_lo,ring_recall_at_least_2_hi,ring_recall_at_least_half,ring_recall_at_least_half_lo,ring_recall_at_least_half_hi
LI-Small,txn_with_format,0.001,2077,2077316,1200,69,0.0575,0.03322099181511796,68,49,0.025517573423206548,0.04092441020702937,0.5294117647058824,0.4117647058823529,0.6470588235294118,0.22058823529411764,0.1323529411764706,0.3235294117647059,0.17647058823529413,0.08823529411764706,0.2647058823529412
LI-Small,txn_with_format,0.005,10387,2077316,1200,157,0.13083333333333333,0.015115047655723501,68,49,0.012900741311254453,0.01742562818908251,0.6176470588235294,0.5,0.7209558823529392,0.29411764705882354,0.19117647058823528,0.4117647058823529,0.2647058823529412,0.16176470588235295,0.36764705882352944
LI-Small,txn_with_format,0.01,20773,2077316,1200,240,0.2,0.01155345881673326,68,49,0.010059933567611805,0.012997641168824917,0.6323529411764706,0.5147058823529411,0.75,0.38235294117647056,0.2647058823529412,0.5,0.3235294117647059,0.22058823529411764,0.4411764705882353
LI-Small,txn_without_format,0.001,2077,2077316,1200,16,0.013333333333333334,0.0077034183919114105,68,49,0.004333172845450169,0.011555127587867116,0.11764705882352941,0.04411764705882353,0.20588235294117646,0.014705882352941176,0.0,0.04411764705882353,0.04411764705882353,0.0,0.10294117647058823
LI-Small,txn_without_format,0.005,10387,2077316,1200,51,0.0425,0.004909983633387889,68,49,0.003658419177818427,0.006354096466737268,0.25,0.14705882352941177,0.3533088235294098,0.08823529411764706,0.029411764705882353,0.16176470588235295,0.07352941176470588,0.014705882352941176,0.14705882352941177
LI-Small,txn_without_format,0.01,20773,2077316,1200,85,0.07083333333333333,0.00409184999759303,68,49,0.003225340586338035,0.005006498820584413,0.38235294117647056,0.2647058823529412,0.5,0.16176470588235295,0.07352941176470588,0.2647058823529412,0.1323529411764706,0.058823529411764705,0.22058823529411764
LI-Small,graph_with_format,0.001,2077,2077316,1200,43,0.035833333333333335,0.020702936928261917,68,49,0.014925373134328358,0.026961964371689937,0.16176470588235295,0.07352941176470588,0.25,0.014705882352941176,0.0,0.04411764705882353,0.014705882352941176,0.0,0.04411764705882353
LI-Small,graph_with_format,0.005,10387,2077316,1200,225,0.1875,0.021661692500240685,68,49,0.018869741022431885,0.024549918166939442,0.4852941176470588,0.36764705882352944,0.6029411764705882,0.11764705882352941,0.04411764705882353,0.19117647058823528,0.10294117647058823,0.04375000000000065,0.17647058823529413
LI-Small,graph_with_format,0.01,20773,2077316,1200,334,0.2783333333333333,0.016078563519953785,68,49,0.014345544697443797,0.017859721754200163,0.5147058823529411,0.38235294117647056,0.6323529411764706,0.20588235294117646,0.11764705882352941,0.3088235294117647,0.1323529411764706,0.058823529411764705,0.22058823529411764
LI-Small,graph_without_format,0.001,2077,2077316,1200,39,0.0325,0.018777082330284064,68,49,0.013480982185844969,0.02455464612421762,0.16176470588235295,0.07352941176470588,0.25,0.014705882352941176,0.0,0.04411764705882353,0.014705882352941176,0.0,0.04411764705882353
LI-Small,graph_without_format,0.005,10387,2077316,1200,74,0.06166666666666667,0.007124289977856937,68,49,0.00548762876672764,0.008760951188986232,0.19117647058823528,0.10294117647058823,0.27941176470588236,0.029411764705882353,0.0,0.07352941176470588,0.029411764705882353,0.0,0.07352941176470588
LI-Small,graph_without_format,0.01,20773,2077316,1200,85,0.07083333333333333,0.00409184999759303,68,49,0.003225340586338035,0.005006498820584413,0.19117647058823528,0.10294117647058823,0.29411764705882354,0.029411764705882353,0.0,0.07352941176470588,0.029411764705882353,0.0,0.07352941176470588
